CODI_SAD;ANY;GEN_DIARI;FEB_DIARI;MAR_DIARI;ABR_DIARI;MAI_DIARI;JUN_DIARI;JUL_DIARI;AGO_DIARI;SET_DIARI;OCT_DIARI;NOV_DIARI;DES_DIARI
AFLUENT_GOTARRA_ONYAR;2009;1,743403226;4,301988773;1,731593841;2,297828807;1,589376715;1,038839005;0,629515233;0,545575553;1,020141319;1,335777905;1,411939296;1,561455085
AFLUENT_GOTARRA_ONYAR;2010;1,876479727;4,275701214;5,877247366;2,980603488;6,116215612;2,578149276;1,490439543;1,80583591;3,773121064;7,335498262;;
AFLUENT_GOTARRA_ONYAR;2011;0,498721579;0,211018873;3,87688549;1,327010532;1,149393145;1,052343056;;;0,92263761;3,097397737;10,991089;2,940372424
AFLUENT_GOTARRA_ONYAR;2012;2,199537502;1,88334678;1,780009073;1,810178819;1,542770161;1,179442814;0,789626904;0,12341017;1,715847685;2,376877576;2,468406018;2,01849664
AFLUENT_GOTARRA_ONYAR;2013;1,876530802;1,921285714;5,065382504;2,954952315;3,071413755;2,427921991;1,95933703;1,612761873;2,159081533;2,306395049;2,965824653;2,564435932
AFLUENT_GOTARRA_ONYAR;2014;2,558597894;2,702484747;2,569712399;2,711892054;3,060261952;2,412959028;2,468943324;2,352750672;6,784982639;5,435206765;5,336825;6,218737919
AFLUENT_GOTARRA_ONYAR;2015;3,869360663;3,543755952;3,954823701;2,739939005;1,933160394;1,251158102;0,311428191;1,551959005;1,951851527;3,87441129;3,677612384;3,427624776
AFLUENT_GOTARRA_ONYAR;2016;3,159619129;3,179986138;2,972735484;3,462253588;3,23902733;2,122715741;0,961262097;0,30772547;2,463081019;3,865743554;3,149891782;3,114214942
AFLUENT_GOTARRA_ONYAR;2017;5,519519377;4,522214045;3,670629368;3,067105556;2,823959117;2,127240825;2,072532706;1,752249776;2,991580556;3,141787746;3,225473264;3,382563844
AFLUENT_GOTARRA_ONYAR;2018;3,54753909;3,959834863;4,017802531;5,467544055;6,211565748;3,389111458;2,304881392;2,792709117;3,926643727;5,840406584;12,0126713;1,08997247
AFLUENT_GOTARRA_ONYAR;2019;0,358170139;0,027335689;0,00377397;0,159219676;0,504215736;0,158016782;0,075014244;0,004420363;0,175431134;1,896459981;1,509250085;2,958213598
AFLUENT_GOTARRA_ONYAR;2020;7,83145272;0,869884579;0,687577447;5,977091898;1,081305451;0,942414236;0,097885081;0,233432796;0,043050926;0,111596704;0,479197819;0,391404798
